name,description,f_bus,t_bus,transformer_type,apparent_power_limit
T1,,354,1,distribution,inf
T2,,953,2,distribution,inf
T3,,669,3,distribution,inf
T4,,330,4,distribution,inf
T5,,643,5,distribution,inf
T6,,1071,6,distribution,inf
T7,,168,7,distribution,inf
T8,,471,8,distribution,inf
T9,,1040,9,distribution,inf
T10,,577,10,distribution,inf
T11,,1124,11,distribution,inf
T12,,1017,12,distribution,inf
T13,,869,13,distribution,inf
T14,,870,14,distribution,inf
T15,,934,15,distribution,inf
T16,,1059,16,distribution,inf
T17,,519,17,distribution,inf
T18,,661,18,distribution,inf
T19,,84,19,distribution,inf
T20,,355,20,distribution,inf
T21,,810,21,distribution,inf
T22,,421,22,distribution,inf
T23,,846,23,distribution,inf
T24,,557,24,distribution,inf
T25,,518,25,distribution,inf
T26,,1025,26,distribution,inf
T27,,1004,27,distribution,inf
T28,,258,28,distribution,inf
T29,,955,29,distribution,inf
T30,,279,30,distribution,inf
T31,,586,31,distribution,inf
T32,,1114,32,distribution,inf
T33,,630,33,distribution,inf
T34,,318,34,distribution,inf
T35,,646,35,distribution,inf
T36,,629,36,distribution,inf
T37,,86,37,distribution,inf
T38,,785,38,distribution,inf
T39,,868,39,distribution,inf
T40,,663,40,distribution,inf
T41,,236,41,distribution,inf
T42,,532,42,distribution,inf
T43,,367,43,distribution,inf
T44,,610,44,distribution,inf
T45,,230,45,distribution,inf
T46,,734,46,distribution,inf
T47,,229,47,distribution,inf
T48,,930,48,distribution,inf
T49,,847,49,distribution,inf
T50,,298,50,distribution,inf
T51,,386,51,distribution,inf
T52,,848,52,distribution,inf
T53,,662,53,distribution,inf
T54,,224,54,distribution,inf
T55,,267,55,distribution,inf
T56,,57,56,distribution,inf
